Timestamp,TimeDelta,RtpTimeDelta,SizeDelta,RCState,NumDeltas,BWState,NoiseVar,RecvRate,RecvBWE,SSRC,LastT,Threshold,TimeOverUsing,RCRegion,RCAvgMax,RCVarMax
303054260,    -,           -,     -, 1,   -, -, 271.786102, 216048, 217048,         0,         -,         -,         -, 2,  -1000,0.400000
303054302,   85,   70.000000,  -164, -,  88, 0,          -,      -,      -,         -,  8.818804, 12.500000, -1.000000, -,      -,       -
303054321,   46,   69.000000,    11, -,  89, 0,          -,      -,      -,         -,  7.910930, 12.500000, -1.000000, -,      -,       -
303054386,    9,   36.000000, -1278, -,  90, 0,          -,      -,      -,         -,  7.660543, 12.500000, -1.000000, -,      -,       -
303054460,   95,   72.000000,  2871, -,  91, 0,          -,      -,      -,         -,  6.695836, 12.500000, -1.000000, -,      -,       -
303054465,    -,           -,     -, 1,   -, -, 275.681267, 239792, 220499,         0,         -,         -,         -, 2,  -1000,0.400000
303054537,   57,   37.000000, -1249, -,  92, 0,          -,      -,      -,         -,  8.154701, 12.500000, -1.000000, -,      -,       -
303054596,   92,  389.000000,  -252, -,  93, 0,          -,      -,      -,         -, -2.003817, 12.500000, -1.000000, -,      -,       -
303054617,   47,   38.000000,   -91, -,  94, 0,          -,      -,      -,         -, -1.634714, 12.500000, -1.000000, -,      -,       -
303054666,    -,           -,     -, 1,   -, -, 311.089571, 248544, 223936,         0,         -,         -,         -, 2,  -1000,0.400000
303054673,    6,   27.000000, -1520, -,  95, 0,          -,      -,      -,         -, -1.519718, 12.500000, -1.000000, -,      -,       -
303054748,   68,   38.000000,  1272, -,  96, 0,          -,      -,      -,         -, -1.160543, 12.500000, -1.000000, -,      -,       -
303054772,   80,   72.000000,  -286, -,  97, 0,          -,      -,      -,         -, -0.704533, 12.500000, -1.000000, -,      -,       -
303054810,    6,   32.000000,  -801, -,  98, 0,          -,      -,      -,         -, -1.179051, 12.500000, -1.000000, -,      -,       -
303054866,    -,           -,     -, 1,   -, -, 304.553983, 253432, 227409,         0,         -,         -,         -, 2,  -1000,0.400000
303054885,   44,   68.000000,  1008, -,  99, 0,          -,      -,      -,         -, -2.639872, 12.500000, -1.000000, -,      -,       -
303054954,   85,   36.000000,   357, -, 100, 0,          -,      -,      -,         -, -1.135300, 12.500000, -1.000000, -,      -,       -
303055032,   83,   69.000000,   680, -, 101, 0,          -,      -,      -,         -, -1.023765, 12.500000, -1.000000, -,      -,       -
303055069,    -,           -,     -, 1,   -, -, 324.983984, 239984, 230989,         0,         -,         -,         -, 2,  -1000,0.400000
303055120,   91,  103.000000,   379, -, 102, 0,          -,      -,      -,         -, -1.660355, 12.500000, -1.000000, -,      -,       -
303055186,   46,   36.000000,  -718, -, 103, 0,          -,      -,      -,         -, -0.916100, 12.500000, -1.000000, -,      -,       -
303055203,   72,   69.000000,    86, -, 104, 0,          -,      -,      -,         -, -0.857512, 12.500000, -1.000000, -,      -,       -
303055246,   10,   34.000000, -2041, -, 105, 0,          -,      -,      -,         -, -0.564529, 12.500000, -1.000000, -,      -,       -
303055275,    -,           -,     -, 1,   -, -, 321.292612, 252960, 234680,         0,         -,         -,         -, 2,  -1000,0.400000
303055315,   79,   36.000000,  2279, -, 106, 0,          -,      -,      -,         -, -0.308297, 12.500000, -1.000000, -,      -,       -
303055398,   62,   69.000000,   807, -, 107, 0,          -,      -,      -,         -, -1.041676, 12.500000, -1.000000, -,      -,       -
303055478,    -,           -,     -, 1,   -, -, 319.738236, 237240, 238375,         0,         -,         -,         -, 2,  -1000,0.400000
303055484,   69,   69.000000, -1404, -, 108, 0,          -,      -,      -,         -, -0.247785, 12.500000, -1.000000, -,      -,       -
303055525,   83,   69.000000,  -168, -, 109, 0,          -,      -,      -,         -,  0.362161, 12.500000, -1.000000, -,      -,       -
303055603,   40,   69.000000,  -227, -, 110, 0,          -,      -,      -,         -, -0.562724, 12.500000, -1.000000, -,      -,       -
303055677,   83,  103.000000,   336, -, 111, 0,          -,      -,      -,         -, -1.490352, 12.500000, -1.000000, -,      -,       -
303055697,    -,           -,     -, 1,   -, -, 325.985576, 240240, 242426,         0,         -,         -,         -, 2,  -1000,0.400000
303055757,   86,   36.000000,  -101, -, 112, 0,          -,      -,      -,         -,  0.293860, 12.500000, -1.000000, -,      -,       -
303055815,   77,   69.000000,  -168, -, 113, 0,          -,      -,      -,         -,  0.665378, 12.500000, -1.000000, -,      -,       -
303055890,   49,   69.000000,    54, -, 114, 0,          -,      -,      -,         -, -0.066490, 12.500000, -1.000000, -,      -,       -
303055906,    -,           -,     -, 1,   -, -, 343.326477, 242760, 246356,         0,         -,         -,         -, 2,  -1000,0.400000
303055963,   74,   69.000000,  -296, -, 115, 0,          -,      -,      -,         -,  0.274484, 12.500000, -1.000000, -,      -,       -
303056038,   66,   69.000000,    22, -, 116, 0,          -,      -,      -,         -,  0.154264, 12.500000, -1.000000, -,      -,       -
303056103,   78,  104.000000,   181, -, 117, 0,          -,      -,      -,         -, -0.875596, 12.500000, -1.000000, -,      -,       -
303056108,    -,           -,     -, 1,   -, -, 342.765968, 229992, 250215,         0,         -,         -,         -, 2,  -1000,0.400000
303056128,   72,   36.000000,   228, -, 118, 0,          -,      -,      -,         -,  0.268716, 12.500000, -1.000000, -,      -,       -
303056180,    8,   34.000000, -1324, -, 119, 0,          -,      -,      -,         -,  0.093345, 12.500000, -1.000000, -,      -,       -
303056256,   73,   70.000000,  1299, -, 120, 0,          -,      -,      -,         -, -0.548823, 12.500000, -1.000000, -,      -,       -
303056308,    -,           -,     -, 1,   -, -, 345.431334, 214760, 254096,         0,         -,         -,         -, 2,  -1000,0.400000
303056334,   75,   70.000000,   495, -, 121, 0,          -,      -,      -,         -, -0.651155, 12.500000, -1.000000, -,      -,       -
303056390,   80,   36.000000,   710, -, 122, 0,          -,      -,      -,         -,  0.534495, 12.500000, -1.000000, -,      -,       -
